year,stock,capture,effort
1972,Merluccius merluccius_2,500,320859403.6
1972,Merluccius merluccius_3,1239,320859403.6
1972,Merluccius merluccius_4,12938,320859403.6
1972,Micromesistius poutassou,300,320859403.6
1973,Merluccius merluccius_2,500,320859403.6
1973,Merluccius merluccius_3,1828,320859403.6
1973,Merluccius merluccius_4,11525,320859403.6
1973,Micromesistius poutassou,300,320859403.6
1974,Merluccius merluccius_2,1268,320859403.6
1974,Merluccius merluccius_3,1779,320859403.6
1974,Merluccius merluccius_4,13574,320859403.6
1974,Micromesistius poutassou,593,320859403.6
1975,Merluccius merluccius_2,1948,320859403.6
1975,Merluccius merluccius_3,1581,320859403.6
1975,Merluccius merluccius_4,14330,320859403.6
1975,Micromesistius poutassou,527,320859403.6
1976,Merluccius merluccius_2,1776,320859403.6
1976,Merluccius merluccius_3,1812,320859403.6
1976,Merluccius merluccius_4,16162,320859403.6
1976,Micromesistius poutassou,604,320859403.6
1977,Merluccius merluccius_2,1714,320859403.6
1977,Merluccius merluccius_3,1871,320859403.6
1977,Merluccius merluccius_4,17174,320859403.6
1977,Micromesistius poutassou,624,320859403.6
1978,Merluccius merluccius_2,2222,320859403.6
1978,Merluccius merluccius_3,2003,320859403.6
1978,Merluccius merluccius_4,13468,320859403.6
1978,Micromesistius poutassou,668,320859403.6
1979,Merluccius merluccius_2,1747,320859403.6
1979,Merluccius merluccius_3,1725,320859403.6
1979,Merluccius merluccius_4,12086,320859403.6
1979,Micromesistius poutassou,575,320859403.6
1980,Merluccius merluccius_2,2565,320859403.6
1980,Merluccius merluccius_3,1758,320859403.6
1980,Merluccius merluccius_4,11378,320859403.6
1980,Micromesistius poutassou,586,320859403.6
1981,Merluccius merluccius_2,2463,320859403.6
1981,Merluccius merluccius_3,1685,320859403.6
1981,Merluccius merluccius_4,14552,320859403.6
1981,Micromesistius poutassou,562,320859403.6
1982,Merluccius merluccius_2,2288,320859403.6
1982,Merluccius merluccius_3,2147,320859403.6
1982,Merluccius merluccius_4,16197,320859403.6
1982,Micromesistius poutassou,680,320859403.6
1983,Merluccius merluccius_2,2277,320859403.6
1983,Merluccius merluccius_3,2351,320859403.6
1983,Merluccius merluccius_4,21623,320859403.6
1983,Micromesistius poutassou,1076,320859403.6
1984,Merluccius merluccius_2,1566,320859403.6
1984,Merluccius merluccius_3,2615,320859403.6
1984,Merluccius merluccius_4,27473,320859403.6
1984,Micromesistius poutassou,837,320859403.6
1985,Merluccius merluccius_2,1587,320859403.6
1985,Merluccius merluccius_3,3062,320859403.6
1985,Merluccius merluccius_4,33480,320859403.6
1985,Micromesistius poutassou,693,320859403.6
1986,Merluccius merluccius_2,1658,320859403.6
1986,Merluccius merluccius_3,3812,320859403.6
1986,Merluccius merluccius_4,23687,320859403.6
1986,Micromesistius poutassou,1147,320859403.6
1987,Merluccius merluccius_2,1568,320859403.6
1987,Merluccius merluccius_3,3025,320859403.6
1987,Merluccius merluccius_4,25093,320859403.6
1987,Micromesistius poutassou,1648,320859403.6
1988,Merluccius merluccius_2,2216,320859403.6
1988,Merluccius merluccius_3,3714,320859403.6
1988,Merluccius merluccius_4,27786,320859403.6
1988,Micromesistius poutassou,1099,320859403.6
1989,Merluccius merluccius_2,1877,320859403.6
1989,Merluccius merluccius_3,4206,320859403.6
1989,Merluccius merluccius_4,24745,320859403.6
1989,Micromesistius poutassou,1504,320859403.6
1990,Merluccius merluccius_2,1761,320859403.6
1990,Merluccius merluccius_3,3789,320859403.6
1990,Merluccius merluccius_4,20473,320859403.6
1990,Micromesistius poutassou,1136,320859403.6
1991,Merluccius merluccius_2,3694,320859403.6
1991,Merluccius merluccius_3,3221,320859403.6
1991,Merluccius merluccius_4,24838,320859403.6
1991,Micromesistius poutassou,1141,320859403.6
1992,Merluccius merluccius,1057,320859403.6
1992,Merluccius merluccius_2,4275,320859403.6
1992,Merluccius merluccius_3,4141,320859403.6
1992,Merluccius merluccius_4,28433,320859403.6
1992,Micromesistius poutassou,1449,320859403.6
1993,Merluccius merluccius,1589,320859403.6
1993,Merluccius merluccius_2,4006,320859403.6
1993,Merluccius merluccius_3,5043,320859403.6
1993,Merluccius merluccius_4,34001,320859403.6
1993,Micromesistius poutassou,1858,320859403.6
1994,Merluccius merluccius,1230,320859403.6
1994,Merluccius merluccius_2,1955,320859403.6
1994,Merluccius merluccius_3,6390,320859403.6
1994,Merluccius merluccius_4,36334,320859403.6
1994,Micromesistius poutassou,2281,320859403.6
1995,Merluccius merluccius,1129,320859403.6
1995,Merluccius merluccius_2,1775,320859403.6
1995,Merluccius merluccius_3,5369,320859403.6
1995,Merluccius merluccius_4,37680,320859403.6
1995,Micromesistius poutassou,1944,320859403.6
1996,Merluccius merluccius,929,320859403.6
1996,Merluccius merluccius_2,1423,320859403.6
1996,Merluccius merluccius_3,4579,320859403.6
1996,Merluccius merluccius_4,30707,320859403.6
1996,Micromesistius poutassou,1226,320859403.6
1997,Merluccius merluccius,828,320859403.6
1997,Merluccius merluccius_2,1423,320859403.6
1997,Merluccius merluccius_3,4248,320859403.6
1997,Merluccius merluccius_4,17971,320859403.6
1997,Micromesistius poutassou,1558,320859403.6
1998,Merluccius merluccius,935,320859403.6
1998,Merluccius merluccius_2,1423,320859403.6
1998,Merluccius merluccius_3,3032,320859403.6
1998,Merluccius merluccius_4,13166,320859403.6
1998,Micromesistius poutassou,846,320859403.6
1999,Merluccius merluccius,650,320859403.6
1999,Merluccius merluccius_2,1782,320859403.6
1999,Merluccius merluccius_3,3127,320859403.6
1999,Merluccius merluccius_4,9754,320859403.6
1999,Micromesistius poutassou,630,320859403.6
2000,Merluccius merluccius,583,320859403.6
2000,Merluccius merluccius_2,1513,320859403.6
2000,Merluccius merluccius_3,2960,320859403.6
2000,Merluccius merluccius_4,9219,320859403.6
2000,Micromesistius poutassou,566,320859403.6
2001,Merluccius merluccius,557,320859403.6
2001,Merluccius merluccius_2,2022,320859403.6
2001,Merluccius merluccius_3,2753,320859403.6
2001,Merluccius merluccius_4,8765,320859403.6
2001,Micromesistius poutassou,471,320859403.6
2002,Merluccius merluccius,624,320859403.6
2002,Merluccius merluccius_2,2663,320859403.6
2002,Merluccius merluccius_3,2930,320859403.6
2002,Merluccius merluccius_4,8459,320859403.6
2002,Micromesistius poutassou,643,320859403.6
2003,Merluccius merluccius,460,320859403.6
2003,Merluccius merluccius_2,2452,320859403.6
2003,Merluccius merluccius_3,3161,320859403.6
2003,Merluccius merluccius_4,9361,320859403.6
2003,Micromesistius poutassou,1303,320859403.6
2004,Merluccius merluccius,678,320859403.6
2004,Merluccius merluccius_2,1292,320859403.6
2004,Merluccius merluccius_3,3748,320859403.6
2004,Merluccius merluccius_4,9586,320859403.6
2004,Micromesistius poutassou,1259,320859403.6
2005,Merlangius merlangus_2,1726,320859403.6
2005,Merluccius merluccius,870,320859403.6
2005,Merluccius merluccius_2,1020,320859403.6
2005,Merluccius merluccius_3,3871,320859403.6
2005,Merluccius merluccius_4,15379,320859403.6
2005,Micromesistius poutassou,1164,320859403.6
2006,Merlangius merlangus_2,1733,320859403.6
2006,Merluccius merluccius,920,320859403.6
2006,Merluccius merluccius_2,1031,320859403.6
2006,Merluccius merluccius_3,4794,320859403.6
2006,Merluccius merluccius_4,18570,320859403.6
2006,Micromesistius poutassou,1409,320859403.6
2007,Merlangius merlangus,758,320859403.6
2007,Merlangius merlangus_2,999,320859403.6
2007,Merluccius merluccius,980,320859403.6
2007,Merluccius merluccius_2,1331,320859403.6
2007,Merluccius merluccius_3,5192,320859403.6
2007,Merluccius merluccius_4,14655,320859403.6
2007,Micromesistius poutassou,1098,320859403.6
2008,Merlangius merlangus,966,320859403.6
2008,Merlangius merlangus_2,904,320859403.6
2008,Merluccius merluccius,702,320859403.6
2008,Merluccius merluccius_2,1965,320859403.6
2008,Merluccius merluccius_3,5306,320859403.6
2008,Merluccius merluccius_4,13049,320859403.6
2008,Micromesistius poutassou,982,320859403.6
2009,Merlangius merlangus,510,320859403.6
2009,Merlangius merlangus_2,1218,320859403.6
2009,Merluccius merluccius,840,320859403.6
2009,Merluccius merluccius_2,3210,320859403.6
2009,Merluccius merluccius_3,5230,320859403.6
2009,Merluccius merluccius_4,12520,320859403.6
2009,Micromesistius poutassou,749,320859403.6
2010,Merlangius merlangus,539,320859403.6
2010,Merlangius merlangus_2,1357,320859403.6
2010,Merluccius merluccius,690,320859403.6
2010,Merluccius merluccius_2,1968,320859403.6
2010,Merluccius merluccius_3,4602,320859403.6
2010,Merluccius merluccius_4,11989,320859403.6
2010,Micromesistius poutassou,679,320859403.6
2011,Merlangius merlangus,342,320859403.6
2011,Merlangius merlangus_2,1670,320859403.6
2011,Merluccius merluccius,777,320859403.6
2011,Merluccius merluccius_2,1201,320859403.6
2011,Merluccius merluccius_3,4113,320859403.6
2011,Merluccius merluccius_4,10462,320859403.6
2011,Micromesistius poutassou,549,320859403.6
2012,Merlangius merlangus,343,320859403.6
2012,Merlangius merlangus_2,1468,320859403.6
2012,Merluccius merluccius,919,320859403.6
2012,Merluccius merluccius_2,865,320859403.6
2012,Merluccius merluccius_3,4051,320859403.6
2012,Merluccius merluccius_4,9393,320859403.6
2012,Micromesistius poutassou,567,320859403.6
2013,Merlangius merlangus,195,320859403.6
2013,Merlangius merlangus_2,1323,320859403.6
2013,Merluccius merluccius,1138,320859403.6
2013,Merluccius merluccius_2,1365,320859403.6
2013,Merluccius merluccius_3,4694,320859403.6
2013,Merluccius merluccius_4,9767,320859403.6
2013,Micromesistius poutassou,1206,320859403.6
2014,Merlangius merlangus,252,320859403.6
2014,Merlangius merlangus_2,716,320859403.6
2014,Merluccius merluccius,903,320859403.6
2014,Merluccius merluccius_2,1642.21,320859403.6
2014,Merluccius merluccius_3,3135,320859403.6
2014,Merluccius merluccius_4,8735,320859403.6
2014,Micromesistius poutassou,545,320859403.6
2015,Merlangius merlangus,266,320859403.6
2015,Merlangius merlangus_2,726,320859403.6
2015,Merluccius merluccius,778,320859403.6
2015,Merluccius merluccius_2,988.58,320859403.6
2015,Merluccius merluccius_3,3255,320859403.6
2015,Merluccius merluccius_4,8994,320859403.6
2015,Micromesistius poutassou,347,320859403.6
2016,Merlangius merlangus,307.89,NA
2016,Merlangius merlangus_2,804,NA
2016,Merluccius merluccius,756,NA
2016,Merluccius merluccius_2,920.76,NA
2016,Merluccius merluccius_3,3696,NA
2016,Merluccius merluccius_4,8258,NA
2016,Micromesistius poutassou,310,NA
2017,Merlangius merlangus,345.18,NA
2017,Merlangius merlangus_2,919,NA
2017,Merluccius merluccius,931,NA
2017,Merluccius merluccius_2,755.31,NA
2017,Merluccius merluccius_3,3962,NA
2017,Merluccius merluccius_4,7598,NA
2017,Micromesistius poutassou,597,NA
2018,Merlangius merlangus,313,NA
2018,Merlangius merlangus_2,1204,NA
2018,Merluccius merluccius,989,NA
2018,Merluccius merluccius_2,796.7,NA
2018,Merluccius merluccius_3,4031,NA
2018,Merluccius merluccius_4,7300,NA
2018,Micromesistius poutassou,1100,NA
2019,Merlangius merlangus,0.01,NA
2019,Merlangius merlangus_2,1079.1,NA
2019,Merluccius merluccius,1138,NA
2019,Merluccius merluccius_2,1079.33,NA
2019,Merluccius merluccius_3,4429,NA
2019,Merluccius merluccius_4,7049.9,NA
2019,Micromesistius poutassou,1014,NA
2020,Merlangius merlangus,0.01,NA
2020,Merlangius merlangus_2,529.01,NA
2020,Merluccius merluccius,1207.54,NA
2020,Merluccius merluccius_2,530.66,NA
2020,Merluccius merluccius_3,4323.5,NA
2020,Merluccius merluccius_4,5929.63,NA
2020,Micromesistius poutassou,747.3,NA
2021,Merlangius merlangus,2731.7,NA
2021,Merlangius merlangus_2,548.1,NA
2021,Merluccius merluccius,1066.03,NA
2021,Merluccius merluccius_2,582.27,NA
2021,Merluccius merluccius_3,3525.91,NA
2021,Merluccius merluccius_4,5992.9,NA
2021,Micromesistius poutassou,522.33,NA
2022,Merlangius merlangus,2785,NA
2022,Merlangius merlangus_2,459.3,NA
2022,Merluccius merluccius,1177.44,NA
2022,Merluccius merluccius_2,834.05,NA
2022,Merluccius merluccius_3,4161.27,NA
2022,Merluccius merluccius_4,6290.3,NA
2022,Micromesistius poutassou,494.82,NA
