Year,Arius_spp1,Brachydeuterus_auritus_1,Pseudotolithus_spp1,Sparidae_1,Cephalopholis_Taeniops_1,Diplodus_spp1,Palinurus_charlestoni_1,Pseudupeneus_prayensis_1,Seriola_spp_1,Pseudotolithus_spp_3,Arius_spp_3,Cynoglossus_spp_3,Dentex_spp_3,Galeoides_decadactylus_3,Pagellus_spp_3,Pomadasys_spp_3,Galeoides_decadactylus_4,Arius_spp_4,Brachydeuterus_auritus_4,Cynoglossus_spp_4,Dentex_macrophthalmus_4,Dentex_spp_4,Merluccius_polli_4,Pagellus_bellottii_4,Pomadasys_spp_4,Pseudotolithus_spp_4,Parapenaeus_longirostris_5,Penaeus_notialis_5,Aristeus_varidens_5,Sepia_spp_6
2006,10517,2228,9375,8667,286,51,9,41,64,14292,497,8398,353,6344,337,4473,2372,559,3342,1172,13985,9916,4433,5,1034,24763,4128,2270,576,11022
2007,14335,3188,6197,8909,233,42,9,20,87,12935,424,7564,777,4683,912,4278,1772,547,4793,1003,19081,13289,4183,79,912,35721,2603,2463,1040,8995
2008,18358,591,6907,8818,239,40,4,30,99,14437,591,8123,583,5474,453,4375,9230,502,4309,1170,21003,4900,4756,108,3826,55643,2420,1248,1154,7345
2009,16354,61,10283,12400,246,27,8,33,118,13427,1144,6610,485,5290,612,4631,12639,343,3304,1360,20217,4516,4393,211,7495,38159,2496,551,551,9639
2010,15173,1062,8017,10235,294,27,7,47,105,8719,111,17021,368,4994,790,4902,9825,413,3799,1731,17820,5099,4675,188,6778,24872,2323,566,459,6551
2011,18829,571,7670,9840,219,22,22,43,87,10963,200,22402,281,6006,46,5402,5774,341,3640,1798,23576,583,3030,825,4407,27412,2247,1509,549,7604
2012,10660,42,5342,15311,250,22,20,55,112,12047,430,19336,254,6377,10,6433,4105,210,2147,1810,2420,520,9525,1462,2784,26438,2397,1698,575,9385
2013,12548,247,5413,17373,330,38,28,63,98,15531,72,23658,296,7119,35,7091,4297,109,8759,1924,22560,395,14252,1556,2779,9962,2661,3818,1031,7838
2014,12758,29,4288,14843,261,29,8,72,97,16815,345,25536,359,5870,59,8721,4994,666,2756,2738,13776,715,10145,1936,3780,19746,4083,1395,2012,6364
2015,21639,101,5121,17950,269,37,5,90,131,17190,280,26018,216,7336,39,8362,3891,260,10374,1469,12350,657,12642,394,2171,8682,3692,8851,2283,5797
2016,25844,233,3643,15577,276,29,NA,62,105,15947,367,23205,110,6479,13,7202,5850,47,6872,2131,11146,657,12180,129,1696,17152,3632,1984,2110,7225
2017,30361,1015,17437,17262,263,41,NA,119,136,23265,501,10958,NA,10773,NA,9034,3629,309,3867,1885,13293,967,12066,3045,2035,22461,3376,1113,2261,4714
2018,38585,415,10208,14792,268,26,NA,136,218,24665,571,10240,NA,10882,NA,8627,3050,468,4574,1594,12091,911,1121,1387,1693,13596,2418,1034,2044,8600
2019,36101,1108,10019,19773,170,25,NA,52,113,22602,499,9785,NA,9995,NA,8120,2766,539,6061,698,13130,907,10749,1076,2632,10873,2723,1694,2760,6039
2020,36435,1524,16537,21193,NA,NA,NA,NA,NA,20420,412,9164,NA,9438,NA,7707,1474,322,7358,702,11074,657,12517,155,2621,12355,3821,960,1061,3478
2021,51771,2364,15133,12531,NA,NA,NA,NA,NA,21263,679,9588,NA,9796,NA,7914,2746,597,9254,309,12943,663,12889,205,4063,14411,2164,1924,1004,8009
